,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
133,2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2015-08-11,0.890373,0.8883657,0.88720715,0.89050007,0.89828634,0.9031341,0.8994396,0.8620341,0.8527022,0.8647897,0.88836676,0.9008592,0.9041888,0.89984035,0.8216772,0.82538694,0.8406939,0.8896251,0.8985468,0.8995037,0.8893943,0.8031843,0.8214232,0.82644826,0.849717,0.8533448,0.8741335,0.8769145,0.80392087,0.8114658,0.8191552,0.8206472,0.8262269,0.83135265,0.8264056,0.80767965,0.7969038,0.8112972,0.8213107,0.82012993,0.8102513,0.7957371
137,2015-08-18,0.890373,0.8883657,0.88720715,0.89050007,0.89828634,0.9031341,0.8994396,0.8620341,0.8527022,0.8647897,0.88836676,0.9008592,0.9041888,0.89984035,0.8216772,0.82538694,0.8406939,0.8896251,0.8985468,0.8995037,0.8893943,0.8031843,0.8214232,0.82644826,0.849717,0.8533448,0.8741335,0.8769145,0.80392087,0.8114658,0.8191552,0.8206472,0.8262269,0.83135265,0.8264056,0.80767965,0.7969038,0.8112972,0.8213107,0.82012993,0.8102513,0.7957371
138,2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2015-09-01,0.81661004,0.82296455,0.8181262,0.8156495,0.8185966,0.8203606,0.80758816,0.7995694,0.7948033,0.7939631,0.8103184,0.81752354,0.81589586,0.80159676,0.7537313,0.7657809,0.771713,0.8114051,0.8229695,0.8234843,0.8113968,0.7350978,0.7540285,0.76369405,0.79040587,0.8044586,0.81617457,0.81076807,0.7353354,0.7406492,0.7582609,0.77293086,0.79531187,0.7909279,0.78283596,0.7442317,0.730997,0.7552904,0.7788672,0.7986378,0.7816982,0.76483256
140,2015-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2015-09-15,0.85585105,0.8518241,0.8560255,0.85742193,0.8639744,0.8657015,0.85593015,0.8403776,0.8288821,0.8237025,0.8496493,0.8670732,0.8687455,0.8535487,0.80830467,0.8089407,0.81501454,0.84429425,0.8561108,0.86101377,0.852911,0.7909106,0.80645967,0.8118928,0.817864,0.8360477,0.84631574,0.83845425,0.7883182,0.79658943,0.8065741,0.8099355,0.80344075,0.80612874,0.79696774,0.79214984,0.7852718,0.79213816,0.8008318,0.8035357,0.8005098,0.7919141
142,2015-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2015-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2015-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2015-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2015-10-20,0.6296071,0.63633925,0.65567875,0.6651647,0.6769614,0.66957855,0.6088604,0.635558,0.6348957,0.6333069,0.64627445,0.65945756,0.6471587,0.6063612,0.61252546,0.6258951,0.63018954,0.65527296,0.6517563,0.6530746,0.6521913,0.6067503,0.62803966,0.62994593,0.6459447,0.63776165,0.6777593,0.67734617,0.62229115,0.6349973,0.63820565,0.6459946,0.64235663,0.65850604,0.6601526,0.6421482,0.6367617,0.6343452,0.6378457,0.64850736,0.656849,0.6600388
147,2015-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
